transaction_id,date,store_id,product_id,quantity,unit_price
T015083,30/06/2023,S04,P10,1,
T038524,19/03/2024,S04,P03,1,
T071150,04/03/2025,S03,P08,1,
T034742,05/02/2024,S05,P10,1,
T074873,12/04/2025,S06,P06,1,
T068362,02/02/2025,S02,P03,1,
T023934,16/10/2023,S03,P07,1,
T073790,01/04/2025,S05,P09,1,10.0
T027895,27/11/2023,S05,P01,1,
T042845,06/05/2024,S04,P10,1,
T053607,09/09/2024,S02,P04,1,
T067960,28/01/2025,S06,P09,1,
T061991,04/12/2024,S03,P04,1,4.5
T074386,07/04/2025,S03,P03,1,
T052500,27/08/2024,S08,P04,2,
T054340,17/09/2024,S06,P09,1,
T017815,04/08/2023,S08,P06,1,
T002898,01/02/2023,S01,P07,2,
T037924,13/03/2024,S01,P08,1,
T013752,13/06/2023,S04,P11,1,
T010399,03/05/2023,S06,P01,2,
T013171,05/06/2023,S05,P04,2,4.5
T059236,09/11/2024,S03,P11,1,
T056788,14/10/2024,S01,P02,2,
T016606,20/07/2023,S08,P06,1,
T009579,23/04/2023,S08,P10,2,
T056484,11/10/2024,S02,P07,1,
T073761,01/04/2025,S03,P02,1,
T036350,24/02/2024,S05,P01,1,
T028166,30/11/2023,S04,P12,1,
T046641,20/06/2024,S03,P05,1,
T066894,18/01/2025,S07,P06,2,
T044295,23/05/2024,S02,P04,2,4.5
T045304,03/06/2024,S01,P04,1,
T068200,31/01/2025,S04,P01,1,
T033661,25/01/2024,S01,P10,1,
T067884,27/01/2025,S07,P07,1,
T063988,22/12/2024,S06,P06,2,
T008022,04/04/2023,S03,P02,1,
T027862,27/11/2023,S02,P10,1,
T016122,14/07/2023,S02,P08,3,
T017755,04/08/2023,S02,P04,1,
T004082,15/02/2023,S03,P05,1,
T071522,08/03/2025,S03,P12,1,
T063089,14/12/2024,S03,P10,1,
T028197,30/11/2023,S08,P06,3,
T052877,01/09/2024,S02,P04,1,
T008448,09/04/2023,S07,P08,1,
T004847,24/02/2023,S06,P08,1,
T030050,19/12/2023,S05,P12,1,
T046028,12/06/2024,S06,P07,1,
T039254,27/03/2024,S04,P02,1,
T032061,08/01/2024,S07,P12,1,
T005077,27/02/2023,S01,P02,3,
T032292,11/01/2024,S04,P11,1,18.0
T029786,17/12/2023,S01,P11,1,
